ROW_NUMBER,TERM_CODE,SUBJ_CODE,CRSE_NUMB,CRSE_TITLE,CRSE_EQUIV,CRSE_TEXT,NOTE_ROW,CRN,PTRM_CODE,SEQ_NUMB,SCHD_CODE,SCHD_TYPE,SCHD_SORT,CREDIT_HRS,LINK_CONN,START_DATE,END_DATE,SUNDAYS,MONDAYS,TUESDAYS,WEDNESDAYS,THURSDAYS,FRIDAYS,SATURDAYS,TIMES,LOCATIONS,MAX_ENRL,ENRL,SEATS,WLIST,PERC_FULL,XLIST_MAX,XLIST_CUR,INSTRUCTORS,TUITION_CODE,TUITION_DESC,BILL_HRS,NOTE_BOTTOM,NOTES_SKILL,CRSE_ROW_NUM,CRSE_ROW_TOTAL
154,202620,CSCI,5410,Serverless Data Processing,,,R ,23279,2,01,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,M,,,,F,,1005-1125,Studley MCCAIN ARTS&SS 1170,30,16,14,,  53.3%,,,Dey S. ,,,3,,[],70,109
155,202620,CSCI,5708,Mobile Computing,,,R ,23281,2,01,L,Lec,1,3,B0,07-JAN-2026,09-APR-2026,,M,,W,,,,0835-0955,Studley GOLDBERG COMPUTER SCIENCE BLDG 127,45,8,37,,  17.8%,120,64,Shakeri H. ,,,3,,[],71,109
156,202620,CSCI,5708,Mobile Computing,,,,23282,2,B01,B,Lab,2,0,L0,07-JAN-2026,09-APR-2026,,,,,R,,,1135-1255,Studley GOLDBERG COMPUTER SCIENCE BLDG 134,20,3,17,,  15.0%,60,40,Staff,,,0,,[],71,109
157,202620,CSCI,5708,Mobile Computing,,,,23283,2,B02,B,Lab,2,0,L0,07-JAN-2026,09-APR-2026,,,,,,F,,1605-1725,Studley GOLDBERG COMPUTER SCIENCE BLDG 134,25,5,20,,  20.0%,60,24,Staff,,,0,,[],71,109
158,202620,CSCI,5709,Adv. Topics in Web Development,,,R ,23284,2,01,L,Lec,1,3,T0,07-JAN-2026,09-APR-2026,,,T,,R,,,1305-1425,Studley GOLDBERG COMPUTER SCIENCE BLDG 143,30,3,27,,  10.0%,60,30,Mosquera G. ,,,3,,[],72,109
159,202620,CSCI,5709,Adv. Topics in Web Development,,,,23285,2,T01,T,Tut,3,0,L0,07-JAN-2026,09-APR-2026,,,,,,F,,1305-1425,Studley GOLDBERG COMPUTER SCIENCE BLDG 143,30,3,27,,  10.0%,60,30,Staff,,,0,,[],72,109
160,202620,CSCI,6105,Algorithm Engineering,,,R ,23286,2,01,L,Lec,1,3,B0,07-JAN-2026,09-APR-2026,,,T,,R,,,1605-1725,Studley MCCAIN ARTS&SS 2176,10,1,9,,  10.0%,35,21,Whidden C. ,,,3,,[],73,109
161,202620,CSCI,6105,Algorithm Engineering,,,,23287,2,B01,B,Lab,2,0,L0,07-JAN-2026,09-APR-2026,,,,,,F,,1005-1125,Studley MONA CAMPBELL BUILDING 1201,10,1,9,,  10.0%,35,21,Staff,,,0,,[],73,109
162,202620,CSCI,6314,Applied ML for SE Applications,,,R ,23290,2,01,L,Lec,1,3,T0,07-JAN-2026,09-APR-2026,,,T,,,,,1435-1725,Studley MCCAIN ARTS&SS 1198,15,10,5,,  66.7%,30,12,Sharma T. ,,,3,,[],74,109
163,202620,CSCI,6314,Applied ML for SE Applications,,,,23291,2,T01,T,Tut,3,0,L0,07-JAN-2026,09-APR-2026,,M,,,,,,0835-0955,Studley MCCAIN ARTS&SS 2118,15,10,5,,  66.7%,30,12,Staff,,,0,,[],74,109
164,202620,CSCI,6405,Data Mining & Data Warehousing,,,R ,23292,2,01,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,T,,R,,,1435-1555,Studley LSC-COMMON AREA C242,12,2,10,,  16.7%,127,110,Ye Q. ,,,3,,[],75,109
165,202620,CSCI,6406,Visualization,,,R ,23293,2,01,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,T,,R,,,1435-1555,Studley MCCAIN ARTS&SS 2162,15,6,9,,  40.0%,35,23,Brooks S. ,,,3,,[],76,109
166,202620,CSCI,6409,Process of Data Science,,,R ,24449,2,02,L,Lec,1,3,B1,07-JAN-2026,09-APR-2026,<br>,<br>,T<br>,<br>,<br>R,<br>,<br>,1435-1555<br>1435-1555,Studley GOLDBERG COMPUTER SCIENCE BLDG 143<br>Studley MONA CAMPBELL BUILDING 1201,35,12,23,,  34.3%,60,14,Oore S. ,,,3,,[],77,109
167,202620,CSCI,6409,Process of Data Science,,,,24450,2,B02,B,Lab,2,0,L1,07-JAN-2026,09-APR-2026,,M,,,,,,1005-1125,Studley KENNETH C ROWE MANAGEMENT 1014,35,12,23,,  34.3%,60,14,Staff,,,0,,[],77,109
168,202620,CSCI,6516,Deep Learning,,,S R ,23296,2,01,L,Lec,1,3,T0,07-JAN-2026,09-APR-2026,,,T,,R,,,0835-0955,Carleton TUPPER BLDG 14B02,10,11,-1,,FULL,30,12,Oore S. ,,,3,,[],78,109
169,202620,CSCI,6516,Deep Learning,,,,23297,2,T01,T,Tut,3,0,L0,07-JAN-2026,09-APR-2026,,M,,,,,,1435-1555,Studley MCCAIN ARTS&SS 2017,10,11,-1,,FULL,30,12,Oore S. ,,,0,,[],78,109
170,202620,CSCI,6519,Computational Cognitive Sci.,,,R ,23298,2,01,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,,,,F,,1135-1425,Studley MCCAIN ARTS&SS 2130,20,7,13,,  35.0%,,,Kryven M. ,,,3,,[],79,109
171,202620,CSCI,6520,NLP with Deep Learning,,,R ,24255,2,01,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,T,,,,,1005-1255,Studley MONA CAMPBELL BUILDING 1201,15,15,0,,FULL,50,35,Sajjad H. ,,,3,,[],80,109
172,202620,CSCI,6610,Human Computer Interaction,,,R ,23299,2,01,L,Lec,1,3,B0,07-JAN-2026,09-APR-2026,,,,W,,,,1435-1725,Studley KENNETH C ROWE MANAGEMENT 1009,12,6,6,,  50.0%,72,71,MacKay B. ,,,3,,[],81,109
173,202620,CSCI,6610,Human Computer Interaction,,,,23300,2,B01,B,Lab,2,0,L0,07-JAN-2026,09-APR-2026,,,,,,F,,0935-1125,Studley KILLAM LIBRARY 2600,12,6,6,,  50.0%,72,71,Staff,,,0,,[],81,109
174,202620,CSCI,6611,Persuasive Computing Design,,,R ,24380,2,01,L,Lec,1,3,B0,07-JAN-2026,09-APR-2026,,,,,,F,,1435-1725,Studley MCCAIN ARTS&SS 2116,18,9,9,,  50.0%,36,11,Oyebode O. ,,,3,,[],82,109
175,202620,CSCI,6611,Persuasive Computing Design,,,,24381,2,B01,B,Lab,2,0,L0,07-JAN-2026,09-APR-2026,,,,,R,,,1005-1125,Studley GOLDBERG COMPUTER SCIENCE BLDG 143,18,9,9,,  50.0%,36,11,Staff,,,0,,[],82,109
176,202620,CSCI,6708,Adv Topics in Network Security,,,R ,23301,2,01,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,M,,W,,F,,1135-1225,Studley SIR JAMES DUNN BUILDING 117,60,18,42,,  30.0%,230,175,Sampalli S. ,,,3,,[],83,109
177,202620,CSCI,6709,Software Defined Networking,,,R ,23302,2,01,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,T,,R,,,0835-0955,Studley MCCAIN ARTS&SS 1170,10,5,5,,  50.0%,,,Haque I. ,,,3,,[],84,109
178,202620,CSCI,6711,Intelligent Wireless Net & Sys,,,R ,23303,2,01,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,T,,R,,,1435-1555,Studley HENRY HICKS ACADEMIC ADMIN 212,15,3,12,,  20.0%,50,30,Tang Y. ,,,3,,[],85,109
179,202620,CSCI,6802,Bioinformatics Algorithms,,,R ,23304,2,01,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,M,,W,,,,1435-1555,Studley MCCAIN ARTS&SS 2176,10,2,8,,  20.0%,30,12,Maguire F. ,,,3,,[],86,109
180,202620,CSCI,6901,Directed Studies,,,S R ,23307,2,01,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,10,0,10,,   0.0%,,,Heywood M. ,,,3,,[],87,109
181,202620,CSCI,6902,Doctoral Directed Studies,,,S R ,23308,2,01,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,10,6,4,,  60.0%,,,Heywood M. ,,,3,,[],88,109
182,202620,CSCI,6904,Spec Grad Topics in Comp Sci,,,R ,24488,2,01,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,M,,,,,,1735-2025,Studley MCCAIN ARTS&SS 1116,10,10,0,,FULL,30,12,Oore S. ,,,3,The topic of this course is AI & Creativity ,[],89,109
183,202620,CSCI,6998,Graduate Research Seminars 1,,,R ,23309,2,01,L,Lec,1,0,,07-JAN-2026,09-APR-2026,,,T,,R,,,1135-1255,Studley GOLDBERG COMPUTER SCIENCE BLDG 127,65,26,39,,  40.0%,120,68,Heywood M. ,,,0,For Master of Computer Science students who started in September 2024 or later. ,[],90,109
184,202620,CSCI,6999,Research Sem Computer Science,,,R ,23310,2,01,L,Lec,1,0,,07-JAN-2026,09-APR-2026,,,T,,R,,,1135-1255,Studley GOLDBERG COMPUTER SCIENCE BLDG 127,55,42,13,,  76.4%,120,68,Heywood M. ,,,0,For PhD students and Master of Computer Science students who started before September 2024. ,[],91,109
185,202620,CSCI,7900,Directed Research Project,,,R ,23311,2,01,L,Lec,1,6,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,75,29,46,,  38.7%,,,Heywood M. ,,,6,,[],92,109
186,202620,CSCI,7901,Doctoral Thesis Proposal,,,,23312,2,01,S,Ths,8,0,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,100,30,70,,  30.0%,,,Heywood M. ,,,0,,[],93,109
187,202620,CSCI,8799,Work Term,,,S ,20855,1,01,W,WkT,8,0,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,50,2,48,,   4.0%,,,Heggie C. ,,,0,,[],94,109
188,202620,CSCI,8873,Honours Seminar,,,S ,20856,1,01,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,20,8,12,,  40.0%,,,Arnold D. ,,,3,,[],95,109
189,202620,CSCI,8874,Research Project 1,,,S R ,20857,1,01,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,10,0,10,,   0.0%,,,Fleming J. ,,,3,,[],96,109
190,202620,CSCI,8875,Research Project 2,,,S R ,20858,1,01,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,10,0,10,,   0.0%,,,Fleming J. ,,,3,,[],97,109
191,202620,CSCI,8890,Co-op Seminar,,,S R ,20859,1,01,L,Lec,1,0,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,250,0,250,,   0.0%,,,Staff,,,0,,[],98,109
192,202620,CSCI,8891,Co-op Work Term 1,,,R ,20860,1,01,W,WkT,8,1,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,150,35,115,,  23.3%,,,Heggie C. ,,,0,,[],99,109
193,202620,CSCI,8892,Co-op Work Term 2,,,R ,20861,1,01,W,WkT,8,1,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,150,71,79,,  47.3%,,,Heggie C. ,,,0,,[],100,109
194,202620,CSCI,8893,Co-op Work Term 3,,,R ,20862,1,01,W,WkT,8,1,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,150,28,122,,  18.7%,,,Heggie C. ,,,0,,[],101,109
195,202620,CSCI,8894,Co-op Work Term 4,,,S ,20863,1,01,W,WkT,8,0,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,10,2,8,,  20.0%,,,Goudreault M. ,,,0,,[],102,109
196,202620,CSCI,9000,Master's Thesis,,,R ,23313,2,01,S,Ths,8,0,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,100,37,63,,  37.0%,,,Heywood M. ,,,0,,[],103,109
197,202620,CSCI,9100,Industrial Internship,,,R ,23314,2,01,I,Int,8,3,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,150,31,119,,  20.7%,,,Dey S. ,,,3,,[],104,109
198,202620,CSCI,9200,Entrepreneurial Internship,,,R ,23315,2,01,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,15,0,15,,   0.0%,,,Dey S. ,,,3,,[],105,109
199,202620,CSCI,9301,Research Project 1,,,S R ,23316,2,01,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,50,10,40,,  20.0%,,,Dey S. ,,,3,,[],106,109
200,202620,CSCI,9302,Research Project 2,,,S R ,23317,2,01,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,50,0,50,,   0.0%,,,Dey S. ,,,3,,[],107,109
201,202620,CSCI,9530,Doctoral Thesis,,,R ,23318,2,01,S,Ths,8,0,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,60,27,33,,  45.0%,,,Heywood M. ,,,0,,[],108,109
202,202620,CSCI,9890,Internship Preparation,,,R ,23319,2,01,L,Lec,1,0,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Online-ASYNCHRONOUS SESSION,150,19,131,,  12.7%,,,Lodge C. ,,,0,,[],109,109
